diagnosis_date,Travel overseas,In AU unknown source,Under investigation,Contact with a confirmed case
2020-01-25,1,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,1,0,0,0
2020-01-29,0,0,0,0
2020-01-30,1,0,0,0
2020-01-31,1,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,2,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,1,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,2,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,1,0,0,0
2020-03-05,0,0,0,0
2020-03-06,1,0,0,0
2020-03-07,1,0,0,0
2020-03-08,2,0,0,0
2020-03-09,3,0,0,0
2020-03-10,1,0,0,1
2020-03-11,4,0,0,1
2020-03-12,9,1,0,0
2020-03-13,12,0,0,3
2020-03-14,4,0,0,1
2020-03-15,7,0,0,0
2020-03-16,13,1,0,3
2020-03-17,29,0,0,8
2020-03-18,23,0,0,7
2020-03-19,24,1,0,8
2020-03-20,32,1,0,10
2020-03-21,35,2,0,9
2020-03-22,51,3,0,19
2020-03-23,39,0,0,17
2020-03-24,49,4,0,11
2020-03-25,44,3,0,11
2020-03-26,33,4,0,17
2020-03-27,72,7,0,27
2020-03-28,49,6,0,23
2020-03-29,23,3,0,28
2020-03-30,42,5,0,41
2020-03-31,24,11,0,23
2020-04-01,27,9,0,27
2020-04-02,20,5,0,34
2020-04-03,11,3,0,8
2020-04-04,9,3,0,17
2020-04-05,5,6,0,15
2020-04-06,16,7,0,10
2020-04-07,11,7,0,6
2020-04-08,4,1,0,8
2020-04-09,4,2,0,6
2020-04-10,11,3,0,10
2020-04-11,4,1,0,1
2020-04-12,8,0,0,0
2020-04-13,5,1,0,3
2020-04-14,2,1,0,1
2020-04-15,1,0,0,4
2020-04-16,3,1,0,3
2020-04-17,9,1,0,4
2020-04-18,5,1,0,7
2020-04-19,0,0,0,1
2020-04-20,2,0,0,3
2020-04-21,1,0,0,0
2020-04-22,0,0,0,1
2020-04-23,1,1,0,3
2020-04-24,0,1,0,2
2020-04-25,1,1,0,1
2020-04-26,0,0,0,1
2020-04-27,0,0,0,3
2020-04-28,1,0,0,2
2020-04-29,2,0,0,5
2020-04-30,4,0,0,1
2020-05-01,1,2,0,7
2020-05-02,1,3,0,7
2020-05-03,2,1,0,18
2020-05-04,1,4,0,9
2020-05-05,8,1,0,7
2020-05-06,0,1,0,14
2020-05-07,0,5,0,8
2020-05-08,1,3,0,8
2020-05-09,3,4,0,1
2020-05-10,4,0,0,1
2020-05-11,0,2,0,14
2020-05-12,2,4,0,1
2020-05-13,3,0,0,6
2020-05-14,7,2,0,10
2020-05-15,7,4,0,2
2020-05-16,3,0,0,2
2020-05-17,2,2,0,2
2020-05-18,1,3,0,3
2020-05-19,0,2,0,3
2020-05-20,0,2,0,3
2020-05-21,3,2,0,5
2020-05-22,3,6,0,0
2020-05-23,0,2,0,0
2020-05-24,2,0,0,0
2020-05-25,3,1,0,1
2020-05-26,2,2,0,4
2020-05-27,3,0,0,7
2020-05-28,3,1,0,2
2020-05-29,2,1,0,5
2020-05-30,3,1,0,4
2020-05-31,1,2,0,1
2020-06-01,0,5,0,4
2020-06-02,7,0,0,0
2020-06-03,6,1,0,1
2020-06-04,2,1,0,0
2020-06-05,0,1,0,0
2020-06-06,3,0,0,1
2020-06-07,1,1,0,0
2020-06-08,0,0,0,0
2020-06-09,0,3,0,1
2020-06-10,2,4,0,1
2020-06-11,2,1,0,2
2020-06-12,6,0,0,2
2020-06-13,3,0,0,7
2020-06-14,1,1,0,10
2020-06-15,3,3,0,3
2020-06-16,15,2,0,3
2020-06-17,7,9,0,2
2020-06-18,1,3,0,8
2020-06-19,2,12,0,11
2020-06-20,3,4,0,10
2020-06-21,4,4,0,5
2020-06-22,2,7,0,8
2020-06-23,1,5,0,12
2020-06-24,10,5,0,18
2020-06-25,8,8,0,12
2020-06-26,1,14,0,25
2020-06-27,0,20,0,27
2020-06-28,1,29,0,39
2020-06-29,0,12,0,49
2020-06-30,6,25,0,45
2020-07-01,3,17,0,53
2020-07-02,7,13,0,42
2020-07-03,0,24,0,76
2020-07-04,2,20,0,46
2020-07-05,0,20,0,78
2020-07-06,1,52,0,115
2020-07-07,1,40,0,81
2020-07-08,0,58,0,91
2020-07-09,0,41,0,102
2020-07-10,0,105,0,185
2020-07-11,0,94,0,162
2020-07-12,0,44,0,123
2020-07-13,0,73,0,175
2020-07-14,0,56,0,162
2020-07-15,0,69,0,226
2020-07-16,0,90,0,290
2020-07-17,0,46,0,165
2020-07-18,0,87,0,250
2020-07-19,0,64,0,198
2020-07-20,0,61,0,280
2020-07-21,0,93,0,343
2020-07-22,0,68,0,306
2020-07-23,0,53,0,236
2020-07-24,0,72,0,261
2020-07-25,0,63,0,343
2020-07-26,0,68,0,424
2020-07-27,0,79,0,280
2020-07-28,0,49,0,227
2020-07-29,0,140,0,483
2020-07-30,0,104,0,444
2020-07-31,0,74,0,295
2020-08-01,0,107,0,491
2020-08-02,0,76,0,278
2020-08-03,0,84,0,319
2020-08-04,0,118,0,568
2020-08-05,0,65,0,379
2020-08-06,0,72,0,349
2020-08-07,0,78,0,377
2020-08-08,0,69,0,305
2020-08-09,0,52,0,258
2020-08-10,0,44,0,277
2020-08-11,0,67,0,333
2020-08-12,0,31,0,225
2020-08-13,0,47,0,313
2020-08-14,0,50,0,251
2020-08-15,0,60,0,207
2020-08-16,0,34,0,232
2020-08-17,0,28,0,189
2020-08-18,0,40,0,168
2020-08-19,0,28,0,203
2020-08-20,0,25,0,145
2020-08-21,0,25,0,148
2020-08-22,0,39,0,163
2020-08-23,0,13,0,96
2020-08-24,0,17,0,129
2020-08-25,0,18,0,124
2020-08-26,0,22,0,88
2020-08-27,0,15,0,96
2020-08-28,0,13,0,77
2020-08-29,0,14,0,94
2020-08-30,0,3,0,68
2020-08-31,0,4,0,59
2020-09-01,0,11,0,76
2020-09-02,0,12,0,98
2020-09-03,0,11,0,64
2020-09-04,0,6,0,65
2020-09-05,0,4,0,58
2020-09-06,0,4,0,34
2020-09-07,0,5,0,43
2020-09-08,0,3,0,67
2020-09-09,0,6,0,41
2020-09-10,0,3,0,37
2020-09-11,0,2,0,33
2020-09-12,0,5,0,36
2020-09-13,0,6,0,24
2020-09-14,0,2,0,37
2020-09-15,0,6,0,35
2020-09-16,0,1,0,24
2020-09-17,0,2,0,43
2020-09-18,0,0,0,20
2020-09-19,0,0,0,13
2020-09-20,0,1,0,10
2020-09-21,0,0,0,28
2020-09-22,0,3,0,11
2020-09-23,0,3,0,8
2020-09-24,0,1,0,12
2020-09-25,0,0,0,12
2020-09-26,0,0,0,16
2020-09-27,0,0,0,5
2020-09-28,0,0,0,9
2020-09-29,0,0,0,10
2020-09-30,0,1,0,13
2020-10-01,0,2,0,3
2020-10-02,0,1,0,8
2020-10-03,0,1,0,9
2020-10-04,0,2,0,6
2020-10-05,0,0,0,14
2020-10-06,0,0,0,5
2020-10-07,0,2,0,7
2020-10-08,0,1,0,9
2020-10-09,0,2,0,12
2020-10-10,0,1,0,11
2020-10-11,0,3,0,11
2020-10-12,0,0,0,11
2020-10-13,0,2,0,3
2020-10-14,0,0,0,6
2020-10-15,0,1,0,1
2020-10-16,0,0,0,1
2020-10-17,0,0,0,2
2020-10-18,0,0,0,3
2020-10-19,0,0,0,0
2020-10-20,0,0,0,3
2020-10-21,0,0,0,5
2020-10-22,0,0,0,1
2020-10-23,0,0,0,5
2020-10-24,0,1,0,6
2020-10-25,0,0,0,0
2020-10-26,0,0,0,0
2020-10-27,0,0,0,2
2020-10-28,0,0,0,2
2020-10-29,0,1,0,1
2020-10-30,0,0,0,0
2020-10-31,0,0,0,0
2020-11-01,0,0,0,0
2020-11-02,0,0,0,0
2020-11-03,0,0,0,0
2020-11-04,0,0,0,0
2020-11-05,0,0,0,0
2020-11-06,0,0,0,0
2020-11-07,0,0,0,0
2020-11-08,0,0,0,0
2020-11-09,0,0,0,0
2020-11-10,0,0,0,0
2020-11-11,0,0,0,0
2020-11-12,0,0,0,0
2020-11-13,0,0,0,0
2020-11-14,0,0,0,0
2020-11-15,0,0,0,0
2020-11-16,0,0,0,0
2020-11-17,0,0,0,0
2020-11-18,0,0,0,0
2020-11-19,0,0,0,0
2020-11-20,0,0,0,0
2020-11-21,0,0,0,0
2020-11-22,0,0,0,0
2020-11-23,0,0,0,0
2020-11-24,0,0,0,0
2020-11-25,0,0,0,0
2020-11-26,0,0,0,0
2020-11-27,0,0,0,0
2020-11-28,0,0,0,0
2020-11-29,0,0,0,0
2020-11-30,0,0,0,0
2020-12-01,0,0,0,0
2020-12-02,0,0,0,0
2020-12-03,0,0,0,0
2020-12-04,0,0,0,0
2020-12-05,0,0,0,0
2020-12-06,0,0,0,0
2020-12-07,0,0,0,0
2020-12-08,0,0,0,0
2020-12-09,0,0,0,0
2020-12-10,0,0,0,0
2020-12-11,5,0,0,0
2020-12-12,1,0,0,0
2020-12-13,1,0,0,0
2020-12-14,0,0,0,0
2020-12-15,0,0,0,0
2020-12-16,0,0,0,0
2020-12-17,1,0,0,0
2020-12-18,2,0,0,0
2020-12-19,2,0,0,0
2020-12-20,1,0,0,0
2020-12-21,2,0,0,1
2020-12-22,1,0,0,0
2020-12-23,0,0,0,0
2020-12-24,0,0,0,0
2020-12-25,0,0,0,0
2020-12-26,1,0,0,0
2020-12-27,2,0,0,0
2020-12-28,0,0,0,0
2020-12-29,1,0,0,0
2020-12-30,0,0,0,3
2020-12-31,2,0,0,5
2021-01-01,2,1,0,9
2021-01-02,0,0,0,3
2021-01-03,0,0,0,3
2021-01-04,1,0,0,3
2021-01-05,2,1,0,0
2021-01-06,0,0,0,0
2021-01-07,1,0,0,0
2021-01-08,1,0,0,0
2021-01-09,6,0,0,0
2021-01-10,1,0,0,0
2021-01-11,0,0,0,0
2021-01-12,3,0,0,0
2021-01-13,0,0,0,0
2021-01-14,2,0,0,0
2021-01-15,3,0,0,0
2021-01-16,7,0,0,0
2021-01-17,2,0,0,0
2021-01-18,3,0,0,0
2021-01-19,1,0,0,0
2021-01-20,1,0,0,0
2021-01-21,1,0,0,0
2021-01-22,3,0,0,0
2021-01-23,0,0,0,0
2021-01-24,6,0,0,0
2021-01-25,1,0,0,0
2021-01-26,2,0,0,0
2021-01-27,3,0,0,0
2021-01-28,0,0,0,1
2021-01-29,1,0,0,0
2021-01-30,0,0,0,0
2021-01-31,1,0,0,0
2021-02-01,0,0,0,0
2021-02-02,0,0,0,0
2021-02-03,2,0,0,1
2021-02-04,3,0,0,0
2021-02-05,0,0,0,0
2021-02-06,0,0,0,0
2021-02-07,0,0,0,1
2021-02-08,0,0,0,0
2021-02-09,0,0,0,2
2021-02-10,0,0,0,2
2021-02-11,0,0,0,4
2021-02-12,0,0,0,2
2021-02-13,1,0,0,2
2021-02-14,1,0,0,1
2021-02-15,2,0,0,2
2021-02-16,0,0,0,0
2021-02-17,1,0,0,0
2021-02-18,0,0,0,3
2021-02-19,0,0,0,0
2021-02-20,0,0,0,0
2021-02-21,0,0,0,0
2021-02-22,0,0,0,0
2021-02-23,0,0,0,0
2021-02-24,0,0,0,0
2021-02-25,0,0,0,2
2021-02-26,0,0,0,0
2021-02-27,0,0,0,0
2021-02-28,0,0,0,0
2021-03-01,0,0,0,0
2021-03-02,0,0,0,0
2021-03-03,0,0,0,0
2021-03-04,0,0,0,0
2021-03-05,0,0,0,0
2021-03-06,0,0,0,0
2021-03-07,1,0,0,0
2021-03-08,1,0,0,0
2021-03-09,0,0,0,0
2021-03-10,0,0,0,0
2021-03-11,0,0,0,0
2021-03-12,0,0,0,0
2021-03-13,0,0,0,0
2021-03-14,0,0,0,0
2021-03-15,0,0,0,0
2021-03-16,0,0,0,0
2021-03-17,0,0,0,0
2021-03-18,0,0,0,0
2021-03-19,0,0,0,0
2021-03-20,0,0,0,0
2021-03-21,0,0,0,0
2021-03-22,0,0,0,0
2021-03-23,0,0,0,0
2021-03-24,0,0,0,0
2021-03-25,0,0,0,0
2021-03-26,0,0,0,0
2021-03-27,0,0,0,0
2021-03-28,1,0,0,0
2021-03-29,0,0,0,0
2021-03-30,0,0,0,0
2021-03-31,0,0,0,0
2021-04-01,0,0,0,0
2021-04-02,0,0,0,0
2021-04-03,0,0,0,0
2021-04-04,0,0,0,0
2021-04-05,0,0,0,0
2021-04-06,0,0,0,0
2021-04-07,0,0,0,0
2021-04-08,0,0,0,0
2021-04-09,1,0,0,0
2021-04-10,0,0,0,0
2021-04-11,2,0,0,0
2021-04-12,0,0,0,0
2021-04-13,0,0,0,0
2021-04-14,5,0,0,0
2021-04-15,0,0,0,0
2021-04-16,3,0,0,0
2021-04-17,0,0,0,0
2021-04-18,4,0,0,0
2021-04-19,1,0,0,0
2021-04-20,3,0,0,0
2021-04-21,2,0,0,0
2021-04-22,2,0,0,0
2021-04-23,1,0,0,1
2021-04-24,1,0,0,0
2021-04-25,0,0,0,0
2021-04-26,4,0,0,0
2021-04-27,2,0,0,0
2021-04-28,1,0,0,0
2021-04-29,2,0,0,0
2021-04-30,3,0,0,0
2021-05-01,1,0,0,0
2021-05-02,1,0,0,0
2021-05-03,1,0,0,0
2021-05-04,0,0,0,0
2021-05-05,2,0,0,0
2021-05-06,0,0,0,0
2021-05-07,1,0,0,0
2021-05-08,5,0,0,0
2021-05-09,2,0,0,0
2021-05-10,1,0,0,0
2021-05-11,0,0,0,1
2021-05-12,1,0,0,0
2021-05-13,1,0,0,0
2021-05-14,1,0,0,0
2021-05-15,4,0,0,0
2021-05-16,1,0,0,0
2021-05-17,0,0,0,0
2021-05-18,1,0,0,0
2021-05-19,0,0,0,0
2021-05-20,0,0,0,0
2021-05-21,0,0,0,0
2021-05-22,1,0,0,0
2021-05-23,1,0,0,0
2021-05-24,0,0,0,4
2021-05-25,0,1,0,9
2021-05-26,0,0,0,12
2021-05-27,2,0,0,4
2021-05-28,2,0,0,4
2021-05-29,1,1,0,4
2021-05-30,0,0,0,5
2021-05-31,1,1,0,8
2021-06-01,0,1,0,5
2021-06-02,0,0,0,3
2021-06-03,2,0,0,4
2021-06-04,0,1,0,4
2021-06-05,6,0,0,2
2021-06-06,0,0,0,11
2021-06-07,1,0,0,2
2021-06-08,0,0,0,1
2021-06-09,0,0,0,4
2021-06-10,1,0,0,0
2021-06-11,3,0,0,1
2021-06-12,0,0,0,1
2021-06-13,4,0,0,2
2021-06-14,3,0,0,0
2021-06-15,3,0,0,5
2021-06-16,1,0,0,0
2021-06-17,1,0,0,1
2021-06-18,1,0,0,2
2021-06-19,1,0,0,0
2021-06-20,7,0,0,1
2021-06-21,1,0,0,0
2021-06-22,1,0,0,0
2021-06-23,2,0,0,1
2021-06-24,0,0,0,2
2021-06-25,2,0,0,1
2021-06-26,2,0,0,0
2021-06-27,2,0,0,0
2021-06-28,2,0,0,0
2021-06-29,1,0,0,1
2021-06-30,0,0,0,0
2021-07-01,3,0,0,0
2021-07-02,0,0,0,0
2021-07-03,1,0,0,0
2021-07-04,2,0,0,0
2021-07-05,2,0,0,0
2021-07-06,0,0,0,0
2021-07-07,0,0,0,0
2021-07-08,1,0,0,0
2021-07-09,3,0,0,0
2021-07-10,0,0,0,0
2021-07-11,0,0,0,0
2021-07-12,0,0,0,3
2021-07-13,1,0,0,1
2021-07-14,0,0,0,10
2021-07-15,1,0,0,9
2021-07-16,0,0,0,20
2021-07-17,2,0,0,16
2021-07-18,1,0,0,13
2021-07-19,2,0,0,13
2021-07-20,1,0,0,22
2021-07-21,2,0,0,25
2021-07-22,0,0,0,14
2021-07-23,0,0,0,12
2021-07-24,1,0,0,11
2021-07-25,1,0,0,11
2021-07-26,0,0,0,10
2021-07-27,0,0,0,8
2021-07-28,0,0,0,7
2021-07-29,0,0,0,3
2021-07-30,0,0,0,2
2021-07-31,0,0,0,4
2021-08-01,0,0,0,2
2021-08-02,1,0,0,4
2021-08-03,0,0,0,1
2021-08-04,0,2,0,4
2021-08-05,0,0,0,6
2021-08-06,0,0,0,29
2021-08-07,1,0,0,11
2021-08-08,0,0,0,11
2021-08-09,0,0,0,20
2021-08-10,0,1,0,19
2021-08-11,0,1,0,22
2021-08-12,0,1,0,14
2021-08-13,0,1,0,20
2021-08-14,0,1,0,24
2021-08-15,0,1,0,21
2021-08-16,0,0,0,24
2021-08-17,0,0,0,24
2021-08-18,0,1,0,56
2021-08-19,2,3,0,51
2021-08-20,0,6,0,55
2021-08-21,1,2,0,62
2021-08-22,0,3,0,62
2021-08-23,1,5,0,42
2021-08-24,0,7,0,38
2021-08-25,0,7,0,72
2021-08-26,0,12,0,69
2021-08-27,0,9,0,53
2021-08-28,1,12,0,73
2021-08-29,0,8,8,56
2021-08-30,0,0,17,55
2021-08-31,0,0,37,83
2021-09-01,0,0,50,126
2021-09-02,1,1,61,141
2021-09-03,0,0,54,133
2021-09-04,2,0,48,126
2021-09-05,0,1,70,170
2021-09-06,0,0,73,171
2021-09-07,0,1,74,141
2021-09-08,0,0,104,212
2021-09-09,0,0,117,218
2021-09-10,0,0,182,256
2021-09-11,0,0,146,237
2021-09-12,0,1,137,324
2021-09-13,0,4,140,293
2021-09-14,0,1,151,241
2021-09-15,0,0,170,328
2021-09-16,1,2,209,297
2021-09-17,0,0,187,321
2021-09-18,0,0,195,302
2021-09-19,0,1,202,355
2021-09-20,0,4,223,355
2021-09-21,0,0,234,379
2021-09-22,0,3,343,411
2021-09-23,0,0,312,404
2021-09-24,0,1,342,496
2021-09-25,0,0,342,425
2021-09-26,0,0,281,414
2021-09-27,0,1,409,575
2021-09-28,0,0,444,494
2021-09-29,0,6,688,731
2021-09-30,0,2,534,599
2021-10-01,0,11,737,718
2021-10-02,0,2,580,632
2021-10-03,0,9,661,705
2021-10-04,0,12,851,884
2021-10-05,0,6,661,724
2021-10-06,0,19,797,797
2021-10-07,0,15,895,873
2021-10-08,0,17,946,975
2021-10-09,1,16,950,887
2021-10-10,1,9,739,839
2021-10-11,0,6,738,685
2021-10-12,0,6,759,771
2021-10-13,0,1,1172,1091
2021-10-14,0,3,1095,1036
2021-10-15,0,7,923,1010
2021-10-16,0,6,820,956
2021-10-17,2,1,922,961
2021-10-18,0,12,825,866
2021-10-19,1,4,856,900
2021-10-20,2,14,1061,1048
2021-10-21,0,15,1060,1031
2021-10-22,2,11,848,829
2021-10-23,0,5,853,1006
2021-10-24,0,12,633,765
2021-10-25,0,9,734,710
2021-10-26,0,2,710,760
2021-10-27,0,16,920,933
2021-10-28,1,9,790,803
2021-10-29,0,15,589,694
2021-10-30,0,19,468,528
2021-10-31,0,18,557,850
2021-11-01,0,16,420,529
2021-11-02,0,14,427,483
2021-11-03,0,24,536,660
2021-11-04,0,22,607,678
2021-11-05,0,33,580,622
2021-11-06,0,25,492,630
2021-11-07,0,27,495,585
2021-11-08,0,22,492,526
2021-11-09,0,24,484,477
2021-11-10,0,33,721,549
2021-11-11,1,21,587,496
2021-11-12,0,22,636,543
2021-11-13,0,28,428,438
2021-11-14,0,16,425,409
2021-11-15,0,16,379,396
2021-11-16,0,22,504,464
2021-11-17,0,23,547,428
2021-11-18,0,27,666,575
2021-11-19,0,25,608,527
2021-11-20,0,18,605,640
2021-11-21,0,12,484,519
2021-11-22,0,12,394,413
2021-11-23,1,17,633,538
2021-11-24,0,12,705,533
2021-11-25,0,1,856,487
2021-11-26,0,1,785,450
2021-11-27,1,0,793,267
